iter	Passed	Remaining
934	10716	744
935	10725	733
936	10737	721
937	10750	710
938	10762	699
939	10772	687
940	10785	676
941	10796	664
942	10806	653
943	10818	641
944	10829	630
945	10839	618
946	10852	607
947	10865	595
948	10877	584
949	10887	573
950	10899	561
951	10911	550
952	10920	538
953	10931	527
954	10942	515
955	10952	504
956	10965	492
957	10976	481
958	10989	469
959	10999	458
960	11012	446
961	11020	435
962	11032	423
963	11044	412
964	11052	400
965	11063	389
966	11075	377
967	11084	366
968	11097	355
969	11108	343
970	11120	332
971	11131	320
972	11139	309
973	11150	297
974	11158	286
975	11169	274
976	11179	263
977	11188	251
978	11200	240
979	11208	228
980	11219	217
981	11232	205
982	11240	194
983	11252	182
984	11264	171
985	11273	160
986	11284	148
987	11295	137
988	11304	125
989	11315	114
990	11324	102
991	11335	91
992	11346	79
993	11355	68
994	11367	57
995	11377	45
996	11386	34
997	11397	22
998	11408	11
999	11418	0
